game_month,game_day,game_week,game_time,game_vs,seat_group,seat_block,seat_col,seat_no,seat_set_no,ticket_price,check_ticket
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,2,24,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,2,25,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,2,26,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,1,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,2,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,3,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,4,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,5,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,6,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,7,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,8,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,9,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,10,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,11,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,12,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,13,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,14,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,15,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,16,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,17,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,18,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,19,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,20,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,21,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,22,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,23,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,24,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,25,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,3,26,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,1,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,2,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,3,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,4,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,5,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,6,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,7,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,8,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,9,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,10,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,11,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,12,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,13,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,14,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,15,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,16,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,17,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,18,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,19,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,20,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,21,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,22,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,23,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,4,24,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,22,5,1,0,40000,0
